year,state,state_po,state_fips,district,totalvotes,DEMOCRAT,REPUBLICAN,DEMOCRAT_PRCT,REPUBLICAN_PRCT,SPREAD_DR,SPREAD_RD,TOTAL_TW,DEMOCRAT_PRCT_TW,REPUBLICAN_PRCT_TW,SPREAD_DR_TW
2010,ALABAMA,AL,1,1,156281,0,129063,0,0.8258393534722711,-0.8258393534722711,0.8258393534722711,129063,0,1,-1
2010,ALABAMA,AL,1,2,219028,106865,111645,0.48790565589787604,0.5097293496721881,-0.021823693774312036,0.021823693774312036,218510,0.48906228547892544,0.5109377145210745,-0.021875429042149064
2010,ALABAMA,AL,1,3,198139,80204,117736,0.40478653874300363,0.5942091158227305,-0.18942257707972687,0.18942257707972687,197940,0.40519349297767,0.59480650702233,-0.18961301404465997
2010,ALABAMA,AL,1,4,169721,0,167714,0,0.9881747102597793,-0.9881747102597793,0.9881747102597793,167714,0,1,-1
2010,ALABAMA,AL,1,5,226490,95192,131109,0.42029228663517154,0.5788732394366197,-0.15858095280144818,0.15858095280144818,226301,0.4206433025041869,0.5793566974958131,-0.15871339499162618
2010,ALABAMA,AL,1,6,209364,0,205288,0,0.9805315144915077,-0.9805315144915077,0.9805315144915077,205288,0,1,-1
2010,ALABAMA,AL,1,7,188724,136696,51890,0.7243169920094954,0.27495178143744303,0.44936521057205236,-0.44936521057205236,188586,0.724847019396986,0.275152980603014,0.449694038793972
2010,ALASKA,AK,2,0,254335,77606,175384,0.3051329938860165,0.6895787052509486,-0.38444571136493205,0.38444571136493205,252990,0.30675520771572,0.69324479228428,-0.38648958456856003
2010,ARIZONA,AZ,4,1,226918,99233,112816,0.4373077499361003,0.49716637728166124,-0.059858627345560966,0.059858627345560966,212049,0.4679720253337672,0.5320279746662328,-0.06405594933246556
2010,ARIZONA,AZ,4,2,266894,82891,173173,0.3105764835477755,0.6488456091182268,-0.33826912557045125,0.33826912557045125,256064,0.323712040739815,0.6762879592601849,-0.3525759185203699
2010,ARIZONA,AZ,4,3,208071,85610,108689,0.4114460929202051,0.5223649619601002,-0.11091886903989506,0.11091886903989506,194299,0.4406095759628202,0.5593904240371798,-0.11878084807435957
2010,ARIZONA,AZ,4,4,91907,61524,25300,0.6694158225162392,0.2752782704255389,0.39413755209070034,-0.39413755209070034,86824,0.7086059154150925,0.2913940845849074,0.41721183083018515
2010,ARIZONA,AZ,4,5,212250,91749,110374,0.4322685512367491,0.5200188457008245,-0.08775029446407534,0.08775029446407534,202123,0.45392656946512766,0.5460734305348723,-0.09214686106974468
2010,ARIZONA,AZ,4,6,249383,72615,165649,0.29117862885601664,0.6642353328013537,-0.3730567039453371,0.3730567039453371,238264,0.3047669811637511,0.6952330188362489,-0.39046603767249777
2010,ARIZONA,AZ,4,7,159144,79935,70385,0.50228095309908,0.4422724073794802,0.06000854571959985,-0.06000854571959985,150320,0.5317655667908462,0.4682344332091538,0.06353113358169238
2010,ARIZONA,AZ,4,8,283578,138280,134124,0.4876259794483352,0.4729703996783954,0.014655579769939808,-0.014655579769939808,272404,0.507628375501094,0.49237162449890604,0.01525675100218793
2010,ARKANSAS,AR,5,1,180016,78267,93224,0.4347780197315794,0.5178650786596747,-0.08308705892809526,0.08308705892809526,171491,0.45639129750249285,0.5436087024975071,-0.08721740499501429
2010,ARKANSAS,AR,5,2,210852,80687,122091,0.3826712575645476,0.5790364805645666,-0.19636522300001896,0.19636522300001896,202778,0.39790805708706073,0.6020919429129393,-0.2041838858258786
2010,ARKANSAS,AR,5,3,205123,56542,148581,0.27564924459958173,0.7243507554004183,-0.44870151080083653,0.44870151080083653,205123,0.27564924459958173,0.7243507554004183,-0.44870151080083653
2010,ARKANSAS,AR,5,4,178134,102479,71526,0.5752916343875959,0.40152918589376535,0.17376244849383055,-0.17376244849383055,174005,0.588942846469929,0.411057153530071,0.177885692939858
2010,CALIFORNIA,CA,6,1,234592,147307,72803,0.6279284886100123,0.3103388009821307,0.3175896876278816,-0.3175896876278816,220110,0.6692426514015719,0.33075734859842804,0.3384853028031439
2010,CALIFORNIA,CA,6,2,228940,98092,130837,0.4284616056608718,0.5714903468157596,-0.14302874115488778,0.14302874115488778,228929,0.42848219316906117,0.5715178068309389,-0.14303561366187773
2010,CALIFORNIA,CA,6,3,261938,113128,131169,0.43188846215516646,0.5007635394635371,-0.06887507730837067,0.06887507730837067,244297,0.46307568246847075,0.5369243175315292,-0.0738486350630585
2010,CALIFORNIA,CA,6,4,304229,95653,186397,0.3144111836807142,0.6126864960276633,-0.29827531234694915,0.29827531234694915,282050,0.3391349051586598,0.6608650948413402,-0.32173018968268036
2010,CALIFORNIA,CA,6,5,172410,124220,43577,0.7204918508207181,0.252752160547532,0.46773969027318607,-0.46773969027318607,167797,0.7402992902137702,0.2597007097862298,0.4805985804275404
2010,CALIFORNIA,CA,6,6,261152,172216,77361,0.6594473716456316,0.29622978188947435,0.36321758975615726,-0.36321758975615726,249577,0.6900315333544357,0.3099684666455643,0.38006306670887136
2010,CALIFORNIA,CA,6,7,179199,122435,56764,0.683234839480131,0.31676516051986897,0.366469678960262,-0.366469678960262,179199,0.683234839480131,0.31676516051986897,0.366469678960262
2010,CALIFORNIA,CA,6,8,209696,167957,31711,0.8009547153975278,0.15122367617884938,0.6497310392186785,-0.6497310392186785,199668,0.8411813610593586,0.15881863894064147,0.6823627221187172
2010,CALIFORNIA,CA,6,9,214085,180400,23054,0.8426559544106312,0.10768619940677768,0.7349697550038535,-0.7349697550038535,203454,0.8866869169443707,0.11331308305562929,0.7733738338887415
