year,state,state_po,state_fips,district,totalvotes,DEMOCRAT,REPUBLICAN,DEMOCRAT_PRCT,REPUBLICAN_PRCT,SPREAD_DR,SPREAD_RD,TOTAL_TW,DEMOCRAT_PRCT_TW,REPUBLICAN_PRCT_TW,SPREAD_DR_TW
1992,FLORIDA,FL,12,17,0,102784,0,NA,NA,NA,NA,102784,1,0,1
1992,FLORIDA,FL,12,18,0,52142,104755,NA,NA,NA,NA,156897,0.3323326768516925,0.6676673231483075,-0.33533464629661497
1992,FLORIDA,FL,12,19,0,177423,103867,NA,NA,NA,NA,281290,0.6307476270041594,0.36925237299584057,0.26149525400831886
1992,FLORIDA,FL,12,20,0,130959,91589,NA,NA,NA,NA,222548,0.5884528281539263,0.41154717184607364,0.17690565630785265
1992,FLORIDA,FL,12,21,0,0,1,NA,NA,NA,NA,1,0,1,-1
1992,FLORIDA,FL,12,22,0,91625,128400,NA,NA,NA,NA,220025,0.41642995114191567,0.5835700488580843,-0.1671400977161686
1992,FLORIDA,FL,12,23,0,84249,44807,NA,NA,NA,NA,129056,0.6528096330275229,0.34719036697247707,0.30561926605504586
1992,GEORGIA,GA,13,1,0,75808,103932,NA,NA,NA,NA,179740,0.42176477133637474,0.5782352286636252,-0.15647045732725046
1992,GEORGIA,GA,13,2,0,95789,54593,NA,NA,NA,NA,150382,0.6369711800614435,0.36302881993855646,0.27394236012288703
1992,GEORGIA,GA,13,3,0,94271,114107,NA,NA,NA,NA,208378,0.45240380462428853,0.5475961953757115,-0.09519239075142294
1992,GEORGIA,GA,13,4,0,123819,126495,NA,NA,NA,NA,250314,0.4946547136796184,0.5053452863203816,-0.010690572640763174
1992,GEORGIA,GA,13,5,0,147445,56960,NA,NA,NA,NA,204405,0.7213375406668134,0.27866245933318656,0.4426750813336269
1992,GEORGIA,GA,13,6,0,116196,158761,NA,NA,NA,NA,274957,0.4225969878926523,0.5774030121073477,-0.15480602421469536
1992,GEORGIA,GA,13,7,0,111374,82915,NA,NA,NA,NA,194289,0.5732388349314681,0.42676116506853196,0.14647766986293614
1992,GEORGIA,GA,13,8,0,108472,86220,NA,NA,NA,NA,194692,0.5571466726932797,0.44285332730672033,0.11429334538655933
1992,GEORGIA,GA,13,9,0,113024,77919,NA,NA,NA,NA,190943,0.5919253389755058,0.40807466102449425,0.18385067795101157
1992,GEORGIA,GA,13,10,0,108426,93059,NA,NA,NA,NA,201485,0.5381343524331836,0.46186564756681636,0.07626870486636728
1992,GEORGIA,GA,13,11,0,120168,44221,NA,NA,NA,NA,164389,0.7309978161555822,0.2690021838444178,0.4619956323111644
1992,HAWAII,HI,15,1,0,129332,41575,NA,NA,NA,NA,170907,0.7567390452117233,0.24326095478827667,0.5134780904234466
1992,HAWAII,HI,15,2,0,131454,40070,NA,NA,NA,NA,171524,0.7663883771367273,0.23361162286327278,0.5327767542734545
1992,IDAHO,ID,16,1,0,140985,90983,NA,NA,NA,NA,231968,0.6077777969375087,0.3922222030624914,0.21555559387501727
1992,IDAHO,ID,16,2,0,81450,139783,NA,NA,NA,NA,221233,0.36816388151858,0.6318361184814201,-0.2636722369628401
1992,ILLINOIS,IL,17,1,0,209258,43453,NA,NA,NA,NA,252711,0.8280525976312864,0.17194740236871367,0.6561051952625727
1992,ILLINOIS,IL,17,2,0,182614,31957,NA,NA,NA,NA,214571,0.8510656146450359,0.1489343853549641,0.7021312292900719
1992,ILLINOIS,IL,17,3,0,162165,93128,NA,NA,NA,NA,255293,0.6352113062246125,0.3647886937753875,0.27042261244922505
1992,ILLINOIS,IL,17,4,0,90452,26154,NA,NA,NA,NA,116606,0.7757062243795345,0.22429377562046549,0.551412448759069
1992,ILLINOIS,IL,17,5,0,132889,90738,NA,NA,NA,NA,223627,0.5942439866384649,0.40575601336153505,0.18848797327692984
1992,ILLINOIS,IL,17,6,0,86891,165009,NA,NA,NA,NA,251900,0.34494243747518855,0.6550575625248114,-0.31011512504962285
1992,ILLINOIS,IL,17,7,0,182811,35346,NA,NA,NA,NA,218157,0.837979070119226,0.16202092988077393,0.675958140238452
1992,ILLINOIS,IL,17,8,0,96419,132887,NA,NA,NA,NA,229306,0.42048180161007565,0.5795181983899244,-0.1590363967798487
1992,ILLINOIS,IL,17,9,0,162942,64760,NA,NA,NA,NA,227702,0.7155931875872852,0.28440681241271487,0.4311863751745703
1992,ILLINOIS,IL,17,10,0,85400,155230,NA,NA,NA,NA,240630,0.3549017163279724,0.6450982836720276,-0.2901965673440552
1992,ILLINOIS,IL,17,11,0,135387,107860,NA,NA,NA,NA,243247,0.5565824038939843,0.4434175961060157,0.11316480778796856
1992,ILLINOIS,IL,17,12,0,168762,68115,NA,NA,NA,NA,236877,0.7124456996669157,0.28755430033308427,0.42489139933383147
1992,ILLINOIS,IL,17,13,0,82985,179257,NA,NA,NA,NA,262242,0.3164443529259234,0.6835556470740766,-0.3671112941481532
1992,ILLINOIS,IL,17,14,0,75294,155271,NA,NA,NA,NA,230565,0.32656300826231216,0.6734369917376879,-0.34687398347537574
1992,ILLINOIS,IL,17,15,0,97190,142167,NA,NA,NA,NA,239357,0.40604619877421594,0.5939538012257841,-0.18790760245156818
1992,ILLINOIS,IL,17,16,0,113555,142388,NA,NA,NA,NA,255943,0.44367300531759024,0.5563269946824098,-0.11265398936481952
1992,ILLINOIS,IL,17,17,0,156233,103719,NA,NA,NA,NA,259952,0.6010071090047393,0.39899289099526064,0.20201421800947866
1992,ILLINOIS,IL,17,18,0,114413,156533,NA,NA,NA,NA,270946,0.42227233470876113,0.5777276652912389,-0.15545533058247774
